"id","name","bikes_count","terminal_id"
2,"New Road 1 , Whitechapel",36,1171
3,"Queen Street 2, Bank",36,200128
4,"Queen Mary's, Mile End",43,200249
5,"Cloudesley Road, Angel",34,2586
6,"All Saints Church, Portobello",34,300023
7,"Ada Street, Hackney Central",42,300040
8,"Red Lion Street, Holborn",30,22171
9,"Crisp Road, Hammersmith",40,200059
10,"Royal London Hospital, Whitechapel",35,1077
11,"Watney Market, Stepney",42,200162
12,"Belgrove Street , King's Cross",37,1011
13,"St. John's Wood Church, The Regent's Park",37,1091
14,"Edgware Road Station, Marylebone",51,1058
15,"Doric Way , Somers Town",35,1004
16,"Colombo Street, Southwark",0,3472
17,"Michael Road, Walham Green",0,300095
18,"Chelsea Bridge, Pimlico",0,22160
19,"Queensway, Kensington Gardens",0,1150
20,"Ashley Crescent, Battersea",0,200169
21,"Shoreditch Park, Hoxton",0,1051
22,"Elizabeth Bridge, Victoria",0,1138
23,"Commercial Street, Shoreditch",1,1083
24,"Nesham Street, Wapping",1,1031
25,"Guildhouse Street, Victoria",1,3478
26,"Devonshire Terrace, Bayswater",1,1227
27,"Vincent Street, Pimlico",1,22161
28,"Park Street, Bankside",1,1024
29,"Central House, Aldgate",1,3430
30,"Vicarage Gate, Kensington",1,3441
31,"Kennington Road Post Office, Oval",1,1073
32,"Frith Street, Soho",1,2660
33,"Northington Street , Holborn",1,3425
34,"Queen's Gate, Kensington Gardens",1,1231
35,"Bonner Gate, Victoria Park",1,200241
36,"Alpha Grove, Millwall",1,200109
37,"Nantes Close, Wandsworth",1,200186
38,"West Cromwell Road, Earl's Court",1,1001
39,"Riverlight North, Nine Elms",1,1165
40,"Foley Street, Fitzrovia",1,3494
41,"Phene Street, Chelsea",1,200189
42,"Battersea Church Road, Battersea",1,200201
43,"Wandsworth Rd, Isley Court, Wandsworth Road",1,200175
44,"Ethelburga Estate, Battersea Park",1,300005
45,"Euston Square Gardens, Euston",1,300203
46,"Queen's Gate (Central), South Kensington",1,1089
47,"Plough Terrace, Clapham Junction",1,300094
48,"British Museum, Bloomsbury",1,981
49,"Tyers Gate, Bermondsey",1,3485
50,"Leman Street, Aldgate",1,1102
51,"Clapham Common North Side, Clapham Common",1,300065
52,"Collingham Gardens, Earl's Court",2,3459
53,"LMU Commercial Road, Whitechapel",2,1105
54,"Waterloo Bridge, South Bank",2,2648
55,"Cadogan Gardens, Chelsea",2,2695
56,"Red Lion Square, Holborn",2,3421
57,"The Tennis Courts, The Regent's Park",2,1199
58,"Penywern Road, Earl's Court",2,3444
59,"Greycoat Street , Westminster",2,10623
60,"Lambeth Road, Vauxhall",2,1078
61,"Serpentine Car Park, Hyde Park",2,1217
62,"Wendon Street, Old Ford",2,300039
63,"Bolsover Street, Fitzrovia",2,1025
64,"Torrens Street, Angel",2,1060
65,"Rotherhithe Roundabout, Rotherhithe",2,10629
66,"Exhibition Road, Knightsbridge",2,22179
67,"Rampayne Street, Pimlico",2,1106
68,"Clapham Common Station, Clapham Common",2,2694
69,"Imperial College, Knightsbridge",2,1220
70,"Kensington Gore, Knightsbridge",2,1193
71,"Kennington Station, Kennington",2,22170
72,"Page Street, Westminster",2,200048
73,"Cranmer Road, Stockwell",2,300247
74,"York Way, Kings Cross",2,300235
75,"Spanish Road, Clapham Junction",2,200106
76,"Wren Street, Holborn",2,22169
77,"East Village, Queen Elizabeth Olympic Park",2,300200
78,"Vauxhall Bridge , Pimlico",2,1046
79,"Shoreditch Court, Haggerston",2,200121
80,"South Quay East, Canary Wharf",2,200233
81,"Carnegie Street, King's Cross",2,300035
82,"Tanner Street, Bermondsey",2,994
83,"Houghton Street, Strand",3,3484
84,"Devonshire Square, Liverpool Street",3,3438
85,"Cleveland Gardens, Bayswater",3,1178
86,"Carey Street, Holborn",3,1139
87,"Porchester Place, Paddington",3,3477
88,"Cartwright Gardens , Bloomsbury",3,1010
89,"Curlew Street, Shad Thames",3,1213
90,"Naval Row, Blackwall",3,200050
91,"Regency Street, Westminster",3,1155
92,"Baylis Road, Waterloo",3,1133
93,"West Kensington Station, West Kensington",3,300020
94,"Pont Street, Knightsbridge",3,1114
95,"Bermondsey Street, Bermondsey",3,2637
96,"Millbank Tower, Pimlico",3,2683
97,"Cephas Street, Bethnal Green",3,200073
98,"St. Peter's Terrace, Fulham",3,300043
99,"Thorndike Close, West Chelsea",3,300030
100,"Great Russell Street, Bloomsbury",3,988
101,"Riverlight South, Nine Elms",3,300232
102,"Heath Road, Battersea",3,200023
103,"Battersea Power Station, Battersea Park",3,300221
104,"Dock Street, Wapping",3,3467
105,"Kennington Road  , Vauxhall",3,1154
106,"Waterloo Station 1, Waterloo",3,2696
107,"Granby Street, Shoreditch",3,22174
108,"Queen's Gate (North), Kensington",3,1204
109,"Gaywood  Street, Elephant & Castle",3,200132
110,"Royal Avenue 1, Chelsea",4,3440
111,"Curzon Street, Mayfair",4,3437
112,"Abingdon Villas, Kensington",4,3442
113,"Vauxhall Cross, Vauxhall",4,1000
114,"Nutford Place, Marylebone",4,1112
115,"Knaresborough Place, Earl's Court",4,200069
116,"Park Lane, Mayfair",4,300093
117,"Broadley Terrace, Marylebone",4,300072
118,"Vincent Square, Westminster",4,1196
119,"Long Lane , Bermondsey",4,1189
120,"Holden Street, Battersea",4,200007
121,"Putney Rail Station, Putney",4,300033
122,"Tower Wharf, Bermondsey",4,2667
123,"George Row, Bermondsey",4,2679
124,"Victoria Rise, Clapham Common",4,300204
125,"Clifton Street, Shoreditch",4,3501
126,"Brick Lane Market, Shoreditch",4,2687
127,"Gloucester Street, Pimlico",4,1103
128,"Cromer Street, Bloomsbury",4,300205
129,"Tate Modern, Bankside",4,300237
130,"Snowsfields, London Bridge",4,200193
131,"Chancery Lane, Holborn",5,3453
132,"Paddington Street, Marylebone",5,1033
133,"Portugal Street, Holborn",5,3456
134,"Kingsway, Covent Garden",5,1141
135,"Clarges Street, Mayfair",5,200088
136,"Aberfeldy Street, Poplar",5,200078
137,"Campden Hill Road, Notting Hill",5,3487
138,"Grosvenor Square, Mayfair",5,10627
139,"St. Martin's Street, West End",5,1158
140,"Tavistock Place, Bloomsbury",5,3439
141,"Barbican Centre, Barbican",5,1191
142,"Hewison Street, Old Ford",5,200006
143,"Nevern Place, Earl's Court",5,1210
144,"Baldwin Street, St. Luke's",5,3500
145,"Twig Folly Bridge, Mile End",5,200167
146,"Charing Cross Hospital, Hammersmith",5,300018
147,"Storey's Gate, Westminster",5,200202
148,"Limburg Road, Clapham Junction",5,300100
149,"Pall Mall East, West End",5,1153
150,"King Edward Walk, Waterloo",5,2639
151,"The Blue, Bermondsey",5,300059
152,"Bedford Way, Bloomsbury",5,1156
153,"Tallis Street, Temple",5,300096
154,"Watney Street, Shadwell",5,200149
155,"Alma Road, Wandsworth",5,300046
156,"Grosvenor Road, Pimlico",5,1140
157,"Fire Brigade Pier, Vauxhall",5,2703
158,"Vicarage Crescent, Battersea",5,200077
159,"Clapham Road, Lingham Street, Stockwell",5,300245
160,"Great Dover Street, The Borough",5,1017
161,"Braham Street, Aldgate",5,1062
162,"Portland Place, Marylebone",5,1164
163,"Waterloo Station 3, Waterloo",5,1072
164,"Timber Lodge, Queen Elizabeth Olympic Park",5,300227
165,"Canada Water Station, Rotherhithe",5,300252
166,"Hyde Park Corner, Hyde Park",5,1075
167,"Bankside Mix, Bankside",5,963
168,"Royal Avenue 2, Chelsea",6,3462
169,"Exhibition Road Museums 2, South Kensington",6,200052
170,"Snow Hill, Farringdon",6,2699
171,"Bank of England Museum, Bank",6,1201
172,"Harrowby Street, Marylebone",6,2680
173,"Wellington Road, St. John's Wood",6,1055
174,"Derry Street, Kensington",6,3436
175,"Aberdeen Place, St. John's Wood",6,2698
176,"New Cavendish Street, Marylebone",6,200005
177,"New Globe Walk, Bankside",6,1015
178,"Sugden Road, Clapham",6,200208
179,"Southampton Place, Holborn",6,1123
180,"Gascoyne Road, Victoria Park",6,200155
181,"Globe Town Market, Bethnal Green",6,200247
182,"Albert Bridge Road, Battersea Park",6,300045
183,"Ampton Street , Clerkenwell",6,1019
184,"Borough High Street, The Borough",6,996
185,"Hampton Street, Walworth",6,1118
186,"Stanhope Gate, Mayfair",6,3506
187,"Parson's Green , Parson's Green",6,200237
188,"Great Suffolk Street, The Borough",6,200200
189,"Duke Street Hill, London Bridge",6,300083
190,"Percival Street, Finsbury",6,200051
191,"Cotton Garden Estate, Kennington",6,990
192,"Liverpool Road (N1 Centre), Angel",6,1081
193,"Sardinia Street, Holborn",6,2649
194,"Newton Street, Covent Garden",6,300074
195,"Hertford Road, De Beauvoir Town",6,300092
196,"William Morris Way, Sands End",6,200062
197,"Monier Road, Hackney Wick",6,300213
198,"Surrey Lane, Battersea",6,300010
199,"Clarence Walk, Stockwell",6,200194
200,"Stebondale Street, Cubitt Town",6,200009
201,"Putney Bridge Road, East Putney",6,300044
202,"Lavington Street, Bankside",6,300208
203,"Santos Road, Wandsworth",6,200177
204,"Vereker Road, West Kensington",6,200116
205,"Spindrift Avenue, Millwall",6,200018
206,"Hibbert Street, Battersea",6,300051
207,"Westferry Circus, Canary Wharf",6,300228
208,"Northumberland Avenue, Strand",6,1097
209,"Southwark Station 1, Southwark",6,22162
210,"Bow Church Station, Bow",6,200252
211,"Whitehall Place, Strand",6,1151
212,"South Wharf Road, Paddington",7,1167
213,"Wardour Street, Soho",7,1163
214,"Westminster University, Marylebone",7,1194
215,"Rathbone Street, Fitzrovia",7,3497
216,"Sadlers Sports Centre, Finsbury",7,3433
217,"Jewry Street, Aldgate",7,1045
218,"Cleaver Street, Kennington",7,10628
219,"Crawford Street, Marylebone",7,1036
220,"Gloucester Road (North), Kensington",7,3447
221,"Old Montague Street, Whitechapel",7,200239
222,"Warwick Square, Pimlico",7,3460
223,"Finnis Street, Bethnal Green",7,300041
224,"Walnut Tree Walk, Vauxhall",7,1076
225,"Pott Street, Bethnal Green",7,200156
226,"Woodstock Street, Mayfair",7,1042
227,"New Fetter Lane, Holborn",7,200044
228,"Gloucester Terrace, Bayswater",7,1173
229,"Craven Street, Strand",7,1160
230,"Stanley Grove, Battersea",7,200199
231,"Spencer Park, Wandsworth Common",7,200191
232,"Preston's Road, Cubitt Town",7,200232
233,"Golden Lane, Barbican",7,967
234,"Triangle Car Park, Hyde Park",7,1088
235,"Howick Place, Westminster",7,2666
236,"Manbre Road, Hammersmith",7,200235
237,"Ebury Bridge, Pimlico",7,22159
238,"Old Brompton Road, South Kensington",7,3479
239,"Burgess Park Albany Road, Walworth",7,300063
240,"Poured Lines, Bankside",7,1144
241,"Claverton Street, Pimlico",7,1135
242,"Kennington Oval, Oval",7,200032
243,"Sutton Street, Shadwell",7,200256
244,"Newgate Street , St. Paul's",7,1074
245,"Shoreditch High Street, Shoreditch",7,3445
246,"Jubilee Crescent, Cubitt Town",7,200054
247,"Rochester Row, Westminster",8,3457
248,"Southampton Street, Strand",8,1228
249,"South Audley Street, Mayfair",8,3493
250,"Horseferry Road, Westminster",8,1170
251,"Montpelier Street, Knightsbridge",8,1206
252,"St. George's Square, Pimlico",8,1195
253,"Union Street, The Borough",8,961
254,"Kensington Church Street, Kensington",8,1143
255,"Gunmakers Lane, Old Ford",8,200014
256,"Trebovir Road, Earl's Court",8,1113
257,"Chadwell Street, Angel",8,3471
258,"Fournier Street, Whitechapel",8,200157
259,"Bishop's Bridge Road West, Bayswater",8,200110
260,"Driffield Road, Old Ford",8,200030
